Sensor Name,Variable,Units,Timestamp,Value,Flagged as Suspect Reading,Aggregated Method,Number of records,Location (WKT),Ground Height Above Sea Level,Sensor Height Above Ground,Broker Name,Third Party,Sensor Centroid Longitude,Sensor Centroid Latitude,Raw ID
PER_AIRMON_MESH307245,PM10,ugm -3,2025-06-15 15:30:00,4.57,False,Median,1,POINT (-1.624621 55.007407),66.1900024414062,2.0,aq_mesh_api,False,-1.624621,55.007407,79522
PER_AIRMON_MESH306245,PM10,ugm -3,2025-06-15 15:30:00,5.06,False,Median,1,POINT (-1.648605 54.977836),111.389999389648,2.0,aq_mesh_api,False,-1.648605,54.977836,79521
PER_TTN_AIRQUALITY011,PM10,ugm -3,2025-06-15 15:30:00,1.3855,False,Median,2,POINT (-1.617676 54.979118),57.6699981689453,2.0,Lorawan,False,-1.617676,54.979118,80144
PER_AIRMON_MONITOR1056100,PM10,ugm -3,2025-06-15 15:30:00,2.27,False,Median,1,POINT (-1.60341 54.96565),31.4099998474121,2.0,aq_mesh_api,False,-1.60341,54.96565,79191
PER_AIRMON_MESH1921150,PM10,ugm -3,2025-06-15 15:30:00,2.87,False,Median,15,POINT (-1.614127 54.972662),42.5299987792969,2.0,aq_mesh_api,False,-1.614127,54.972662,79164
PER_TTN_AIRQUALITY006,PM10,ugm -3,2025-06-15 15:30:00,0.4685,False,Median,2,POINT (-1.617676 54.979118),57.6699981689453,2.0,Lorawan,False,-1.617676,54.979118,80139
PER_AIRMON_MESH1970150,PM10,ugm -3,2025-06-15 15:30:00,6.032,False,Median,15,POINT (-1.576209 54.984303),42.3499984741211,2.0,aq_mesh_api,False,-1.576209,54.984303,79206
PER_AIRMON_MESH1966150,PM10,ugm -3,2025-06-15 15:30:00,0.01,True,Median,15,POINT (-1.690413 54.957331),3.80999994277954,2.0,aq_mesh_api,False,-1.690413,54.957331,79202
PER_AIRMON_MESH1957150,PM10,ugm -3,2025-06-15 15:30:00,3.903,False,Median,15,POINT (-1.704298 55.000748),115.569999694824,2.0,aq_mesh_api,False,-1.704298,55.000748,79194
PER_TTN_AIRQUALITY004,PM10,ugm -3,2025-06-15 15:30:00,0.955,False,Median,1,POINT (-1.617676 54.979118),57.6699981689453,2.0,Lorawan,False,-1.617676,54.979118,80137
PER_AIRMON_MESH1916150,PM10,ugm -3,2025-06-15 15:30:00,4.454,False,Median,15,POINT (-1.590481 55.007634),59.810001373291,2.0,aq_mesh_api,False,-1.590481,55.007634,79159
PER_AIRMON_MESH1965150,PM10,ugm -3,2025-06-15 15:30:00,9.966,False,Median,15,POINT (-1.468363 55.015287),58.0,2.0,aq_mesh_api,False,-1.468363,55.015287,79201
PER_TTN_AIRQUALITY007,PM10,ugm -3,2025-06-15 15:30:00,0.673,False,Median,1,POINT (-1.617676 54.979118),57.6699981689453,2.0,Lorawan,False,-1.617676,54.979118,80140
PER_AIRMON_MONITOR914,PM10,ugm -3,2025-06-15 15:30:00,1.969,False,Median,1,POINT (-1.619756 55.006886),62.5900001525879,2.0,aq_mesh_api,False,-1.619756,55.006886,1726
PER_AIRMON_MESH1922150,PM10,ugm -3,2025-06-15 15:30:00,47.571,False,Median,15,POINT (-1.609327 54.991308),56.8699989318848,2.0,aq_mesh_api,False,-1.609327,54.991308,79165
